SECCION,CASILLA,LOCALIDAD,DOMICILIO
745,B1,RANCHO NUEVO DE GUADALUPE,"ESCUELA PRIMARIA FEDERAL IGNACIO ZARAGOZA, CALLE GUANAJUATO, NÚMERO 1, LOCALIDAD RANCHO NUEVO DE GUADALUPE, CóDIGO POSTAL 37962, DOCTOR MORA, GUANAJUATO, A 5 METROS DE UN TERRENO DE CULTIVO, MEJOR CONOCIDO POR EL HURóN"
745,C1,RANCHO NUEVO DE GUADALUPE,"ESCUELA PRIMARIA FEDERAL IGNACIO ZARAGOZA, CALLE GUANAJUATO, NÚMERO 1, LOCALIDAD RANCHO NUEVO DE GUADALUPE, CóDIGO POSTAL 37962, DOCTOR MORA, GUANAJUATO, A 5 METROS DE UN TERRENO DE CULTIVO, MEJOR CONOCIDO POR EL HURóN"
746,B1,LAS PALMITAS,"ESCUELA PRIMARIA FEDERAL PLAN DE SAN LUóS, AVENIDA GUANAJUATO, SIN NÚMERO, LOCALIDAD LAS PALMITAS, CóDIGO POSTAL 37963, DOCTOR MORA, GUANAJUATO, A UN COSTADO DEL JARDóN DE NIñOS"
746,C1,LAS PALMITAS,"ESCUELA PRIMARIA FEDERAL PLAN DE SAN LUóS, AVENIDA GUANAJUATO, SIN NÚMERO, LOCALIDAD LAS PALMITAS, CóDIGO POSTAL 37963, DOCTOR MORA, GUANAJUATO, A UN COSTADO DEL JARDóN DE NIñOS"
747,B1,EJIDO DE BEGOñA,"ESCUELA TELESECUNDARIA 392, AVENIDA LµZARO CµRDENAS, NÚMERO 4, LOCALIDAD EJIDO DE BEGOñA, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, A 15 METROS DE UNA BOMBA DE AGUA"
747,C1,EJIDO DE BEGOñA,"ESCUELA TELESECUNDARIA 392, AVENIDA LµZARO CµRDENAS, NÚMERO 4, LOCALIDAD EJIDO DE BEGOñA, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, A 15 METROS DE UNA BOMBA DE AGUA"
747,C2,EJIDO DE BEGOñA,"ESCUELA TELESECUNDARIA 392, AVENIDA LµZARO CµRDENAS, NÚMERO 4, LOCALIDAD EJIDO DE BEGOñA, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, A 15 METROS DE UNA BOMBA DE AGUA"
747,C3,EJIDO DE BEGOñA,"ESCUELA TELESECUNDARIA 392, AVENIDA LµZARO CµRDENAS, NÚMERO 4, LOCALIDAD EJIDO DE BEGOñA, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, A 15 METROS DE UNA BOMBA DE AGUA"
747,C4,EJIDO DE BEGOñA,"ESCUELA TELESECUNDARIA 392, AVENIDA LµZARO CµRDENAS, NÚMERO 4, LOCALIDAD EJIDO DE BEGOñA, CóDIGO POSTAL 37960, DOCTOR MORA, GUANAJUATO, A 15 METROS DE UNA BOMBA DE AGUA"
748,B1,LAS FLORES,"ESCUELA PRIMARIA RURAL FEDERAL FRANCISCO I MADERO, CALLE PRINCIPAL, SIN NÚMERO, LOCALIDAD LAS FLORES, CóDIGO POSTAL 37966, DOCTOR MORA, GUANAJUATO, A 10 METROS DE TIENDA DE ABARROTES"
748,C1,LAS FLORES,"ESCUELA PRIMARIA RURAL FEDERAL FRANCISCO I MADERO, CALLE PRINCIPAL, SIN NÚMERO, LOCALIDAD LAS FLORES, CóDIGO POSTAL 37966, DOCTOR MORA, GUANAJUATO, A 10 METROS DE TIENDA DE ABARROTES"
748,C2,LAS FLORES,"ESCUELA PRIMARIA RURAL FEDERAL FRANCISCO I MADERO, CALLE PRINCIPAL, SIN NÚMERO, LOCALIDAD LAS FLORES, CóDIGO POSTAL 37966, DOCTOR MORA, GUANAJUATO, A 10 METROS DE TIENDA DE ABARROTES"
748,C3,LAS FLORES,"ESCUELA PRIMARIA RURAL FEDERAL FRANCISCO I MADERO, CALLE PRINCIPAL, SIN NÚMERO, LOCALIDAD LAS FLORES, CóDIGO POSTAL 37966, DOCTOR MORA, GUANAJUATO, A 10 METROS DE TIENDA DE ABARROTES"
749,B1,LA REDONDA,"ESCUELA PRIMARIA PLAN DE ONCE AñOS, CALLE NIñOS HROES, SIN NÚMERO, LOCALIDAD LA REDONDA, CóDIGO POSTAL 37967, DOCTOR MORA, GUANAJUATO , CERCA DE LA IGLESIA"
749,C1,LA REDONDA,"ESCUELA PRIMARIA PLAN DE ONCE AñOS, CALLE NIñOS HROES, SIN NÚMERO, LOCALIDAD LA REDONDA, CóDIGO POSTAL 37967, DOCTOR MORA, GUANAJUATO , CERCA DE LA IGLESIA"
749,C2,LA REDONDA,"ESCUELA PRIMARIA PLAN DE ONCE AñOS, CALLE NIñOS HROES, SIN NÚMERO, LOCALIDAD LA REDONDA, CóDIGO POSTAL 37967, DOCTOR MORA, GUANAJUATO , CERCA DE LA IGLESIA"
750,B1,DERRAMADERO DEL SAUZ,"ESCUELA PRIMARIA FEDERAL MELCHOR OCAMPO, DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD DERRAMADERO DEL SAUZ, CóDIGO POSTAL 37968, DOCTOR MORA, GUANAJUATO, A UN COSTADO DEL JARDóN DE NIñOS"
750,C1,DERRAMADERO DEL SAUZ,"ESCUELA PRIMARIA FEDERAL MELCHOR OCAMPO, DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD DERRAMADERO DEL SAUZ, CóDIGO POSTAL 37968, DOCTOR MORA, GUANAJUATO, A UN COSTADO DEL JARDóN DE NIñOS"
751,B1,MORISQUILLAS,"ESCUELA PRIMARIA NICOLµS BRAVO, CALLE 20 DE NOVIEMBRE, SIN NÚMERO, LOCALIDAD MORISQUILLAS, CóDIGO POSTAL 37967, DOCTOR MORA, GUANAJUATO, A UN COSTADO DE LA TELESECUNDARIA"
751,C1,MORISQUILLAS,"ESCUELA PRIMARIA NICOLµS BRAVO, CALLE 20 DE NOVIEMBRE, SIN NÚMERO, LOCALIDAD MORISQUILLAS, CóDIGO POSTAL 37967, DOCTOR MORA, GUANAJUATO, A UN COSTADO DE LA TELESECUNDARIA"
752,B1,DOLORES HIDALGO,"ESCUELA PRIMARIA AMADO NERVO, CALLE TEPEYAC, SIN NÚMERO, COLONIA SAN ANTONIO DEL CARMEN, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLE DE LA LUZ Y SANTA ANA"
752,C1,DOLORES HIDALGO,"ESCUELA PRIMARIA AMADO NERVO, CALLE TEPEYAC, SIN NÚMERO, COLONIA SAN ANTONIO DEL CARMEN, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLE DE LA LUZ Y SANTA ANA"
752,C2,DOLORES HIDALGO,"ESCUELA PRIMARIA AMADO NERVO, CALLE TEPEYAC, SIN NÚMERO, COLONIA SAN ANTONIO DEL CARMEN, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLE DE LA LUZ Y SANTA ANA"
752,C3,DOLORES HIDALGO,"ESCUELA PRIMARIA AMADO NERVO, CALLE TEPEYAC, SIN NÚMERO, COLONIA SAN ANTONIO DEL CARMEN, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLE DE LA LUZ Y SANTA ANA"
752,C4,DOLORES HIDALGO,"ESCUELA PRIMARIA AMADO NERVO, CALLE TEPEYAC, SIN NÚMERO, COLONIA SAN ANTONIO DEL CARMEN, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLE DE LA LUZ Y SANTA ANA"
753,B1,DOLORES HIDALGO,"JARDóN DE NIñOS MOISS SµENZ GARZA, CALLE SAN JOS ITURBIDE, NÚMERO 7, FRACCIONAMIENTO MARGARITAS, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLES PNJAMO Y VICTORIA"
753,C1,DOLORES HIDALGO,"JARDóN DE NIñOS MOISS SµENZ GARZA, CALLE SAN JOS ITURBIDE, NÚMERO 7, FRACCIONAMIENTO MARGARITAS, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLES PNJAMO Y VICTORIA"
753,C2,DOLORES HIDALGO,"JARDóN DE NIñOS MOISS SµENZ GARZA, CALLE SAN JOS ITURBIDE, NÚMERO 7, FRACCIONAMIENTO MARGARITAS, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLES PNJAMO Y VICTORIA"
753,C3,DOLORES HIDALGO,"JARDóN DE NIñOS MOISS SµENZ GARZA, CALLE SAN JOS ITURBIDE, NÚMERO 7, FRACCIONAMIENTO MARGARITAS, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLES PNJAMO Y VICTORIA"
753,C4,DOLORES HIDALGO,"JARDóN DE NIñOS MOISS SµENZ GARZA, CALLE SAN JOS ITURBIDE, NÚMERO 7, FRACCIONAMIENTO MARGARITAS, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLES PNJAMO Y VICTORIA"
754,B1,DOLORES HIDALGO,"CENTRO DE CAPACITACIóN PARA EL TRABAJO INDUSTRIAL 60 CECATI, AVENIDA NORTE, ESQUINA AVENIDA DE LA JUVENTUD, SIN NÚMERO, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, A UN COSTADO DE LA ESCUELA TECNICA INDISTRIAL NÚMERO 4"
754,C1,DOLORES HIDALGO,"CENTRO DE CAPACITACIóN PARA EL TRABAJO INDUSTRIAL 60 CECATI, AVENIDA NORTE, ESQUINA AVENIDA DE LA JUVENTUD, SIN NÚMERO, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, A UN COSTADO DE LA ESCUELA TECNICA INDISTRIAL NÚMERO 4"
754,C2,DOLORES HIDALGO,"CENTRO DE CAPACITACIóN PARA EL TRABAJO INDUSTRIAL 60 CECATI, AVENIDA NORTE, ESQUINA AVENIDA DE LA JUVENTUD, SIN NÚMERO, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, A UN COSTADO DE LA ESCUELA TECNICA INDISTRIAL NÚMERO 4"
754,S1,DOLORES HIDALGO,"MUSEO BICENTENARIO , CALLE PLAZA PRINCIPAL SIN NÚMERO, ZONA CENTRO, DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL CODIGO POSTAL 37800, ENTRE CALLE SAN LUIS POTOSI, CALLEJON CASIANO EXIGA Y CALLE MEXICO."
755,B1,DOLORES HIDALGO,"JARDóN DE NIñOS FEDERAL IGNACIO PREZ, AVENIDA UNIVERSIDAD, NÚMERO 1, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ESQUINA CON AVENIDA NORTE"
755,C1,DOLORES HIDALGO,"JARDóN DE NIñOS FEDERAL IGNACIO PREZ, AVENIDA UNIVERSIDAD, NÚMERO 1, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ESQUINA CON AVENIDA NORTE"
755,C2,DOLORES HIDALGO,"JARDóN DE NIñOS FEDERAL IGNACIO PREZ, AVENIDA UNIVERSIDAD, NÚMERO 1, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ESQUINA CON AVENIDA NORTE"
755,C3,DOLORES HIDALGO,"JARDóN DE NIñOS FEDERAL IGNACIO PREZ, AVENIDA UNIVERSIDAD, NÚMERO 1, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ESQUINA CON AVENIDA NORTE"
755,C4,DOLORES HIDALGO,"JARDóN DE NIñOS FEDERAL IGNACIO PREZ, AVENIDA UNIVERSIDAD, NÚMERO 1, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ESQUINA CON AVENIDA NORTE"
756,B1,DOLORES HIDALGO,"ESCUELA PRIMARIA NÚMERO 2 HEROóNAS DE MXICO, CALLE MICHOACµN, NÚMERO 35, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES CAMPECHE Y BAJA CALIFORNIA SUR"
756,C1,DOLORES HIDALGO,"ESCUELA PRIMARIA NÚMERO 2 HEROóNAS DE MXICO, CALLE MICHOACµN, NÚMERO 35, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES CAMPECHE Y BAJA CALIFORNIA SUR"
756,C2,DOLORES HIDALGO,"ESCUELA PRIMARIA NÚMERO 2 HEROóNAS DE MXICO, CALLE MICHOACµN, NÚMERO 35, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES CAMPECHE Y BAJA CALIFORNIA SUR"
756,C3,DOLORES HIDALGO,"ESCUELA PRIMARIA NÚMERO 2 HEROóNAS DE MXICO, CALLE MICHOACµN, NÚMERO 35, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES CAMPECHE Y BAJA CALIFORNIA SUR"
757,B1,DOLORES HIDALGO,"MUSEO DE LA INDEPENDENCIA, CALLE AVENIDA ZACATECAS, NÚMERO 6, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLE SAN LUIS POTOSó Y CALLE CHIHUAHUA"
757,C1,DOLORES HIDALGO,"MUSEO DE LA INDEPENDENCIA, CALLE AVENIDA ZACATECAS, NÚMERO 6, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLE SAN LUIS POTOSó Y CALLE CHIHUAHUA"
758,B1,DOLORES HIDALGO,"PLAZA COMERCIAL PASEO DOLORES , AVENIDA NORTE 65 BIS, COLONIA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES REVOLUCIóN Y DOLORES HIDALGO"
758,C1,DOLORES HIDALGO,"PLAZA COMERCIAL PASEO DOLORES , AVENIDA NORTE 65 BIS, COLONIA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES REVOLUCIóN Y DOLORES HIDALGO"
759,B1,DOLORES HIDALGO,"ESCUELA PRIMARIA JOAQUóN BARANDA, CALLE PROLONGACIóN µLVARO OBREGóN, NÚMERO 67, COLONIA MARIANO BALLEZA, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES MARIANO MATAMOROS Y JUµREZ"
759,C1,DOLORES HIDALGO,"ESCUELA PRIMARIA JOAQUóN BARANDA, CALLE PROLONGACIóN µLVARO OBREGóN, NÚMERO 67, COLONIA MARIANO BALLEZA, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES MARIANO MATAMOROS Y JUµREZ"
759,C2,DOLORES HIDALGO,"ESCUELA PRIMARIA JOAQUóN BARANDA, CALLE PROLONGACIóN µLVARO OBREGóN, NÚMERO 67, COLONIA MARIANO BALLEZA, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES MARIANO MATAMOROS Y JUµREZ"
759,C3,DOLORES HIDALGO,"ESCUELA PRIMARIA JOAQUóN BARANDA, CALLE PROLONGACIóN µLVARO OBREGóN, NÚMERO 67, COLONIA MARIANO BALLEZA, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES MARIANO MATAMOROS Y JUµREZ"
760,B1,DOLORES HIDALGO,"ESCUELA PRIMARIA EJRCITO MEXICANO, CALLE ENCINO, SIN NÚMERO, COLONIA LA CONCEPCIóN, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES PIñóN Y ABETO"
760,C1,DOLORES HIDALGO,"ESCUELA PRIMARIA EJRCITO MEXICANO, CALLE ENCINO, SIN NÚMERO, COLONIA LA CONCEPCIóN, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES PIñóN Y ABETO"
760,C2,DOLORES HIDALGO,"ESCUELA PRIMARIA EJRCITO MEXICANO, CALLE ENCINO, SIN NÚMERO, COLONIA LA CONCEPCIóN, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES PIñóN Y ABETO"
760,C3,DOLORES HIDALGO,"ESCUELA PRIMARIA EJRCITO MEXICANO, CALLE ENCINO, SIN NÚMERO, COLONIA LA CONCEPCIóN, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES PIñóN Y ABETO"
760,C4,DOLORES HIDALGO,"ESCUELA PRIMARIA EJRCITO MEXICANO, CALLE ENCINO, SIN NÚMERO, COLONIA LA CONCEPCIóN, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES PIñóN Y ABETO"
760,C5,DOLORES HIDALGO,"ESCUELA PRIMARIA EJRCITO MEXICANO, CALLE ENCINO, SIN NÚMERO, COLONIA LA CONCEPCIóN, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES PIñóN Y ABETO"
760,C6,DOLORES HIDALGO,"ESCUELA PRIMARIA EJRCITO MEXICANO, CALLE ENCINO, SIN NÚMERO, COLONIA LA CONCEPCIóN, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES PIñóN Y ABETO"
760,C7,DOLORES HIDALGO,"ESCUELA PRIMARIA EJRCITO MEXICANO, CALLE ENCINO, SIN NÚMERO, COLONIA LA CONCEPCIóN, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES PIñóN Y ABETO"
761,B1,DOLORES HIDALGO,"CASA COLOR BEIGE, PUERTA Y PORTóN CAFS, CALLE COLIMA, NÚMERO 21 A, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLE GUANAJUATO Y RENOVACIóN"
761,C1,DOLORES HIDALGO,"CASA COLOR BEIGE, PUERTA Y PORTóN CAFS, CALLE COLIMA, NÚMERO 21 A, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLE GUANAJUATO Y RENOVACIóN"
762,B1,DOLORES HIDALGO,"COLEGIO PARTICULAR INDEPENDENCIA , CALLE DURANGO, NÚMERO 31, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLE RENOVACIóN Y GUANAJUATO"
762,C1,DOLORES HIDALGO,"COLEGIO PARTICULAR INDEPENDENCIA , CALLE DURANGO, NÚMERO 31, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLE RENOVACIóN Y GUANAJUATO"
763,B1,DOLORES HIDALGO,"ESCUELA PRIMARIA CENTENARIO, CALLE GUERRERO, NÚMERO 8, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLES VERACRUZ Y DISTRITO FEDERAL"
763,C1,DOLORES HIDALGO,"ESCUELA PRIMARIA CENTENARIO, CALLE GUERRERO, NÚMERO 8, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE CALLES VERACRUZ Y DISTRITO FEDERAL"
764,B1,DOLORES HIDALGO,"LUGAR PARTICULAR DE 1 NIVEL , CALLE CORREGIDORA, NÚMERO 38, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES YUCATAN Y CAMPECHE"
764,C1,DOLORES HIDALGO,"LUGAR PARTICULAR DE 1 NIVEL , CALLE CORREGIDORA, NÚMERO 38, ZONA CENTRO, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, ENTRE LAS CALLES YUCATAN Y CAMPECHE"
765,B1,DOLORES HIDALGO,"DESARROLLO INTEGRAL DE LA FAMILIA MUNICIPAL, CALLE ACTINIO, NÚMERO 1, FRACCIONAMIENTO LA ESPERANZA 2, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, AVENIDA SUR ESQUINA CON CALLE ACTINIO"
765,C1,DOLORES HIDALGO,"DESARROLLO INTEGRAL DE LA FAMILIA MUNICIPAL, CALLE ACTINIO, NÚMERO 1, FRACCIONAMIENTO LA ESPERANZA 2, CóDIGO POSTAL 37800, DOLORES HIDALGO, GUANAJUATO, AVENIDA SUR ESQUINA CON CALLE ACTINIO"
